Latitude,Longitude,Cluster
49.2681826,-123.1575142,4
49.26846213,-123.175756,4
49.2679583,-123.1432453,2
49.29098094,-123.1369293,2
49.26791623,-123.1408809,2
49.26791623,-123.1408809,2
49.26858478,-123.1836466,4
49.26849514,-123.1776943,4
49.29098094,-123.1369293,2
49.24820792,-123.1851646,4
49.2685995,-123.1856948,4
49.2685995,-123.1856948,4
49.27874577,-123.1238826,2
49.27874577,-123.1238826,2
49.27874577,-123.1238826,2
49.27874577,-123.1238826,2
49.22719854,-123.1588122,4
49.22573896,-123.1059037,0
49.24762065,-123.0719785,1
49.27874577,-123.1238826,2
49.27874577,-123.1238826,2
49.25319037,-123.1471398,4
49.22696223,-123.1398167,0
49.25353641,-123.145512,4
49.24683127,-123.0901254,0
49.22696223,-123.1398167,0
49.22696223,-123.1398167,0
49.22696223,-123.1398167,0
49.22701157,-123.1435938,0
49.24686931,-123.0902499,0
49.22747035,-123.1282811,0
49.22747035,-123.1282811,0
49.27216111,-123.0670481,1
49.2471793,-123.0902413,0
49.2471793,-123.0902413,0
49.2262865,-123.1681622,4
49.27870767,-123.1237637,2
49.27870767,-123.1237637,2
49.22699725,-123.1163446,0
49.2298039,-123.1162139,0
49.23376283,-123.123888,0
49.27874623,-123.1237062,2
49.26963098,-123.16228,4
49.27792795,-123.1251087,2
49.23388418,-123.1280917,0
49.23467711,-123.1627511,4
49.23477315,-123.1883428,4
49.24661138,-123.0541966,3
49.23433856,-123.1396315,0
49.23433856,-123.1396315,0
49.23475627,-123.1820376,4
49.23473408,-123.1730675,4
49.2474455,-123.0760643,1
49.23473901,-123.1757599,4
49.2338184,-123.1223909,0
49.23365219,-123.1178713,0
49.26889985,-123.1455986,4
49.23855752,-123.1786721,4
49.27909318,-123.1233648,2
49.23918487,-123.1553887,4
49.24237014,-123.185253,4
49.27897786,-123.1233611,2
49.24211087,-123.1534882,4
49.24211087,-123.1534882,4
49.25261302,-123.1274118,2
49.25352158,-123.1273729,2
49.25398411,-123.1152125,2
49.25649262,-123.1908029,4
49.27915111,-123.1232785,2
49.2558642,-123.1151207,2
49.27903579,-123.1232748,2
49.25751293,-123.1649289,4
49.25800406,-123.1851191,4
49.22566639,-123.1145517,0
49.26841317,-123.0755115,1
49.25877373,-123.1761201,4
49.25871249,-123.1267678,2
49.25883036,-123.1339147,2
49.25883036,-123.1339147,2
49.26111206,-123.1577391,4
49.26111206,-123.1577391,4
49.27787029,-123.1251961,2
49.26118317,-123.1647899,4
49.28800363,-123.1419246,2
49.27608273,-123.1209212,2
49.28785162,-123.1297553,2
49.27794723,-123.1250796,2
49.26030665,-123.1069947,2
49.26137606,-123.1682678,4
49.26049183,-123.1199417,2
49.26079466,-123.1387028,2
49.26079466,-123.1387028,2
49.26083667,-123.1411493,4
49.26038892,-123.1149938,2
49.27489181,-123.0669918,1
49.26071045,-123.1338373,2
49.26071045,-123.1338373,2
49.26114471,-123.1601581,4
49.22709092,-123.1972413,4
49.26147541,-123.1740681,4
49.26173624,-123.1411107,4
49.26321113,-123.1682328,4
49.24750373,-123.0876979,1
49.26362063,-123.1939229,4
49.26285454,-123.1529753,4
49.26348088,-123.1859093,4
49.22475594,-123.0815318,0
49.26111206,-123.1577391,4
49.2248226,-123.0814028,0
49.26292918,-123.1576761,4
49.2900646,-123.139784,2
49.29012363,-123.1396964,2
