DATE,CRIME_COUNT,ROLLING_MEAN_3,ROLLING_STD_3,GROWTH_RATE,LAG_1,LAG_2,LAG_3,VOLATILITY,ANOMALY,ANOMALY_SCORE
2003-05-01,2794,2752.333333333333,39.67786956647127,0.0167394468704511,2748.0,2715.0,2519.0,0.0144160843768213,0,0.13009254265262488
2003-06-01,2871,2804.333333333333,62.14767359550875,0.0275590551181101,2794.0,2748.0,2715.0,0.0221613004619667,0,0.14223986471631805
2003-07-01,2866,2843.6666666666665,43.0851869362765,-0.0017415534656913,2871.0,2794.0,2748.0,0.0151512789601253,0,0.12419745689878642
2003-08-01,3236,2991.0,212.1909517392308,0.1290997906489881,2866.0,2871.0,2794.0,0.0709431466864696,0,0.11729906831530429
2003-09-01,2872,2991.333333333333,211.90878540856656,-0.1124845488257108,3236.0,2866.0,2871.0,0.070840913330254,0,0.12262746474097985
2003-10-01,2801,2969.6666666666665,233.36737846865805,-0.0247214484679665,2872.0,3236.0,2866.0,0.0785836946240851,0,0.11393289113807309
2003-11-01,2615,2762.6666666666665,132.71900140271487,-0.0664048554087826,2801.0,2872.0,3236.0,0.048040179079168,0,0.1158630679650246
2003-12-01,2364,2593.333333333333,219.30420272610792,-0.0959847036328871,2615.0,2801.0,2872.0,0.0845646025936148,0,0.13802315184523478
2004-01-01,2410,2463.0,133.6300864326613,0.0194585448392554,2364.0,2615.0,2801.0,0.0542550087018519,0,0.15145293352439065
2004-02-01,2517,2430.333333333333,78.50053078377145,0.0443983402489627,2410.0,2364.0,2615.0,0.0323003144083547,0,0.16653696979011678
2004-03-01,2992,2639.6666666666665,309.7843335827909,0.1887167262614222,2517.0,2410.0,2364.0,0.1173573684490936,0,0.05035719508894876
2004-04-01,2622,2710.333333333333,249.5161985389604,-0.123663101604278,2992.0,2517.0,2410.0,0.0920610743594737,0,0.11517268075592224
2004-05-01,2739,2784.333333333333,189.1198914269303,0.0446224256292906,2622.0,2992.0,2517.0,0.0679228629571161,0,0.1338002042397185
2004-06-01,2683,2681.333333333333,58.51780355869422,-0.0204454180357794,2739.0,2622.0,2992.0,0.0218241435450127,0,0.1353891378036337
2004-07-01,2612,2678.0,63.64746656388285,-0.0264629146477823,2683.0,2739.0,2622.0,0.0237667910992841,0,0.15411012224029713
2004-08-01,2699,2664.6666666666665,46.306946923047335,0.0333078101071975,2612.0,2683.0,2739.0,0.0173781387001678,0,0.14919804249475688
2004-09-01,2651,2654.0,43.57751713900859,-0.0177843645794738,2699.0,2612.0,2683.0,0.0164195618458962,0,0.14807979662625376
2004-10-01,2734,2694.6666666666665,41.66933324801256,0.0313089400226329,2651.0,2699.0,2612.0,0.0154636318337503,0,0.1418127314488835
2004-11-01,2541,2642.0,96.81425514871552,-0.070592538405267,2734.0,2651.0,2699.0,0.0366443055067053,0,0.1554392457202584
2004-12-01,2319,2531.333333333333,207.6688068375555,-0.0873671782762691,2541.0,2734.0,2651.0,0.082039296880783,0,0.14292749221446865
2005-01-01,2421,2427.0,111.12155506471566,0.0439844760672702,2319.0,2541.0,2734.0,0.0457855603892524,0,0.1626212166146105
2005-02-01,2423,2387.6666666666665,59.4754851458479,0.0008261049153241,2421.0,2319.0,2541.0,0.0249094590866318,0,0.16449860856099335
2005-03-01,2287,2377.0,77.94870107962447,-0.0561287659925712,2423.0,2421.0,2319.0,0.0327928906519244,0,0.17998947200565069
2005-04-01,2221,2310.333333333333,103.00161811027044,-0.0288587669435942,2287.0,2423.0,2421.0,0.0445830117343545,0,0.18403463190913877
2005-05-01,2486,2331.333333333333,137.95047420481737,0.1193156235929762,2221.0,2287.0,2423.0,0.0591723509600303,0,0.16815416100340586
2005-06-01,2357,2354.6666666666665,132.515407909171,-0.0518905872888173,2486.0,2221.0,2287.0,0.056277777990871,0,0.17163085385378124
